State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"61,027","62,040","61,154","67,045","68,692","75,259","75,640","78,047","67,679","69,706","93,905","85,226","96,102","90,591","89,431","107,200","116,535","124,884","111,454","127,372","108,671","98,847","109,485","101,740","137,916","113,903","96,700","88,550","88,035","70,849","55,957","48,500","61,054","14,138","19,038","12,532","15,711","8,755","8,253","8,621","9,475","8,022","5,310","11,380","12,385","12,954","8,549","5,290","5,413","9,626","9,816","10,075","9,197","9,101","8,206","3,178","5,125","5,321","5,654","4,227","3,432",939,"1,529","3,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,"10,161","6,804","25,966","37,626","36,619","36,231","38,844","36,159","28,807","35,109","41,586","28,822","30,537","37,197","39,072","34,528","32,349","32,019","31,979","28,423","26,576","33,251","35,101","27,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"5,587","6,622","6,818","6,122","6,176","6,497","7,479","6,622","9,264","18,385","61,526","126,087","146,739","191,993","256,114","397,118","471,445","487,861","476,422","585,822","535,551","605,809","499,797","524,278","591,908","597,846","610,004","617,562","693,998","677,753","678,342","688,453","704,046","649,268","752,552","712,989","689,154","740,072","773,038","741,898","696,895","708,173","676,052","665,901","721,570","726,845","754,967","778,069","794,235","703,719","797,035","746,650","660,148","753,246","790,673","746,222","572,787","624,772","684,031","608,890","469,076","511,753","505,215","520,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"33,074","35,706","35,798","31,423","34,541","35,785","46,408","54,437","58,773","61,615","73,862","79,573","86,869","93,710","100,561","110,869","144,839","157,574","184,269","199,468","223,718","237,961","235,316","251,138","286,337","351,049","335,150","328,641","389,431","386,817","387,651","386,837","413,528","417,344","422,529","395,209","393,533","389,550","392,568","407,886","408,363","398,430","401,823","402,709","392,966","392,566","397,481","385,056","387,403","391,800","377,669","367,624","366,826","369,479","389,673","392,183","399,856","394,022","399,835","361,946","364,262","362,308","354,738","320,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"5,518","7,707","12,664","36,384","55,539","60,085","51,536","64,780","64,144","83,636","137,698","152,924","154,290","164,714","168,496","157,541","175,430","200,268","232,636","292,444","345,071","355,602","375,420","381,364","397,917","420,410","404,083","359,625","407,855","444,915","454,214","400,542","457,758","535,318","533,893","507,955","452,294","505,578","534,746","547,678","513,357","554,846","543,314","490,629","510,869","536,980","485,090","455,522","475,817","466,100","381,448","405,952","409,050","400,228","400,158","357,525","246,549","257,710","200,179","268,307","191,349","172,666","195,201","147,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"796,648","756,037","800,589","863,111","875,311","924,108","1,016,801","1,079,511","1,133,681","1,202,162","1,298,561","1,206,596","1,195,710","1,031,681","996,981","1,019,414","1,026,692","1,057,730","917,578","973,964","881,261","849,991","842,998","790,471","915,355","831,074","855,432","840,104","798,665","787,935","826,283","720,901","720,512","686,182","711,787","620,991","675,076","689,466","659,398","531,258","528,236","598,946","507,902","539,441","568,593","606,427","557,935","555,706","638,424","670,150","644,947","679,187","642,149","612,270","541,830","417,682","309,088","233,560","219,942","192,413","88,255","68,008","59,516","46,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
