State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,"7,372","6,932","7,500","12,464","13,263","15,600","19,099","19,964","21,479","23,662","24,522","28,951","27,828","19,382","23,464","31,259","28,337","23,620","30,377","29,495","28,817","28,017","31,102","30,958","33,300","34,169","35,099","34,971","36,556","33,966","27,365","27,209","26,539","22,392","31,556","33,802","40,216","43,998","32,407","35,065","32,512","25,933","33,788","46,914","67,924","81,514","100,789","106,483","135,740","160,359","179,189","186,959","192,090","194,671","200,346","192,182","196,216","201,319","209,926","212,913","206,783","236,219","240,104","235,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,"224,053","220,657","232,473","226,328","227,991","223,830","233,651","251,376","282,776","282,512","289,992","321,746","379,485","296,208","276,965","288,479","319,092","329,667","342,624","335,917","349,490","412,064","421,052","449,068","461,544","418,323","297,064","288,735","328,206","455,181","405,357","390,635","357,422","207,790","308,567","349,956","433,503","434,070","456,230","444,965","420,790","481,628","472,578","430,393","492,407","482,119","426,087","458,628","447,171","453,603","456,985","445,846","415,547","467,331","442,804","415,139","445,041","463,613","514,822","511,513","516,059","496,742","480,374","501,599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,"12,050,540","12,199,073","12,351,919","12,690,371","13,120,616","13,314,516","13,949,169","14,488,013","14,909,406","15,402,661","16,533,838","16,604,565","17,203,112","17,038,957","16,491,187","15,570,351","15,116,738","14,708,354","13,647,549","13,732,776","13,288,068","12,856,173","12,169,738","11,516,251","11,815,704","11,738,332","11,368,028","10,827,249","10,851,893","10,526,684","10,565,631","10,590,138","10,442,398","10,236,011","10,315,287","10,218,976","10,238,350","10,185,228","10,112,573","9,513,403","9,672,367","9,489,989","9,246,694","9,261,471","9,127,870","9,347,155","9,656,270","10,232,753","11,202,831","10,948,804","11,210,133","12,356,185","13,976,122","15,451,195","17,378,716","17,802,150","16,672,857","17,322,499","20,181,060","23,155,595","23,255,708","23,319,024","25,117,353","27,104,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,"387,173","371,748","357,145","375,385","360,140","339,160","321,326","290,939","288,187","295,862","292,827","297,158","315,751","377,877","431,987","477,207","447,011","462,879","461,695","513,821","566,177","586,530","633,333","530,296","586,194","645,259","675,083","714,422","764,260","792,488","866,407","836,597","835,910","906,714","1,005,471","989,115","1,039,635","1,033,208","1,030,056","1,019,543","1,032,547","1,051,309","968,084","907,800","879,836","979,625","1,076,497","1,076,192","1,163,537","1,118,738","1,063,354","1,113,792","1,106,494","1,113,695","1,160,544","1,011,310","904,479","885,138","866,459","858,600","761,548","768,056","819,356","825,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,"815,047","879,101","855,840","883,920","914,655","981,616","1,024,783","1,052,771","1,060,846","1,026,577","1,020,959","899,344","999,025","1,007,085","994,239","1,050,154","1,182,837","1,127,016","1,043,582","1,131,021","1,275,766","1,386,916","1,335,710","1,229,392","1,368,259","1,447,568","1,429,729","1,483,520","1,566,105","1,418,455","1,639,467","1,496,396","1,532,477","1,434,641","1,420,292","1,348,651","1,405,750","1,418,151","1,365,799","1,341,013","1,348,737","1,292,938","1,229,805","1,327,756","1,301,728","1,217,626","1,273,900","1,168,137","1,160,052","1,082,437","1,094,779","1,082,640","1,041,739","1,018,266","979,033","923,997","903,890","916,899","886,925","868,410","811,707","828,734","826,347","834,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,"10,922","9,783","9,975","9,119","8,820","9,368","9,674","9,448","9,568","9,748","9,153","9,348","11,223","27,179","36,873","49,020","47,754","50,739","49,888","53,409","49,705","57,127","62,927","50,702","55,539","52,261","38,301","53,088","59,244","50,835","48,209","52,986","48,733","46,891","57,003","52,996","53,234","57,465","47,413","54,976","60,446","54,695","56,482","62,549","54,353","58,761","70,926","63,731","68,500","78,121","73,756","72,656","70,785","74,386","76,301","29,566","26,816","27,322","30,868","29,977","18,276","18,921","19,506","19,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,"179,452","188,464","197,865","212,521","226,848","235,340","259,795","288,820","333,786","339,093","333,037","357,566","400,288","403,015","453,430","446,979","486,807","434,004","505,962","470,213","477,385","512,345","498,316","498,068","515,990","532,929","551,697","491,324","509,788","499,897","534,770","506,605","472,445","477,249","468,915","524,136","557,387","587,299","505,812","548,523","520,219","438,540","542,417","520,512","523,703","498,393","525,486","443,935","455,415","416,560","455,421","495,464","531,167","494,365","511,062","481,625","527,579","517,039","533,938","477,471","498,119","474,940","514,904","440,429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,"47,340","46,016","46,422","44,151","44,178","46,685","46,522","46,455","49,123","47,624","46,554","83,633","84,383","115,662","143,562","165,179","176,523","179,592","202,511","190,132","280,670","288,763","292,074","300,894","315,547","316,478","263,182","259,904","268,420","228,099","207,276","205,816","209,626","207,874","211,741","210,403","211,485","147,394","194,883","220,807","219,884","227,284","214,220","229,738","218,944","236,338","260,695","274,916","291,962","288,928","322,714","308,163","330,453","306,546","290,196","304,804","304,581","299,190","313,932","311,187","266,765","272,396","278,483","275,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,"3,230,037","3,083,831","3,220,295","3,571,054","3,790,747","3,992,807","4,009,200","4,109,476","3,938,779","3,822,313","3,949,912","3,280,720","3,395,515","3,231,145","2,859,765","2,972,768","2,972,967","2,626,521","2,348,478","3,097,389","3,317,976","3,151,893","3,550,875","3,187,176","3,617,028","3,548,452","3,593,314","3,785,067","4,044,204","4,233,179","4,677,794","4,640,613","4,481,081","3,604,971","4,437,656","4,448,724","4,604,642","4,677,179","4,632,494","4,235,346","4,330,821","4,323,132","4,039,963","3,755,156","3,967,034","4,126,188","4,094,825","4,146,352","4,178,685","3,719,067","3,689,190","3,807,213","3,704,873","3,784,000","4,181,485","4,078,693","3,773,748","4,297,076","4,725,502","5,142,059","4,974,769","5,392,514","5,677,994","6,089,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,"1,013,559","1,083,129","1,060,838","1,124,213","1,117,004","1,120,584","1,113,704","1,118,815","1,178,963","1,314,850","1,429,589","1,418,201","1,422,014","1,498,558","1,556,489","1,548,494","1,685,547","1,963,800","2,195,886","2,461,134","2,890,886","3,033,673","3,034,739","3,154,116","3,589,106","3,680,833","3,544,772","3,781,730","4,104,439","4,355,572","4,658,880","4,818,489","4,811,565","4,866,547","5,350,297","5,789,803","6,028,675","6,161,928","6,865,326","7,295,674","7,482,805","8,285,899","8,436,590","8,578,813","8,988,992","9,141,068","10,046,820","10,401,529","10,868,257","10,308,645","10,501,452","10,306,771","9,571,154","9,201,036","9,325,847","9,053,300","7,487,086","7,762,723","7,685,636","7,131,211","5,748,492","5,978,347","6,011,777","5,845,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3,"530,978","674,013","918,907","1,147,416","1,321,824","1,568,087","2,059,270","2,564,024","3,151,503","3,742,173","4,429,754","5,044,415","5,318,284","5,605,359","5,552,257","5,421,542","5,508,613","5,721,290","6,142,624","6,517,017","6,612,377","6,679,713","6,627,352","6,174,588","6,880,667","6,277,769","6,323,397","6,689,674","6,626,962","6,536,663","6,766,415","6,701,084","6,623,494","6,584,909","6,918,909","7,019,382","7,530,452","8,080,756","7,991,889","8,091,434","8,220,891","8,414,182","7,938,336","7,792,821","7,197,562","5,956,147","5,738,688","5,602,509","4,843,547","5,804,718","5,587,631","4,636,588","4,349,885","4,094,018","4,352,266","4,601,323","4,692,834","4,731,871","4,788,614","5,108,039","4,388,669","4,456,368","4,484,652","4,736,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X5,0,0,0,0,0,0,0,0,"12,030","57,668","145,199","180,401","130,863","109,145","97,348","89,520","81,069","71,096","69,482","63,632","58,688","113,610","164,697","177,057","176,314","173,275","165,915","180,322","181,447","191,841","174,180","182,810","246,802","293,706","333,552","415,912","373,630","313,983","268,151","230,272","202,954","180,397","185,971","172,480","159,552","153,741","150,725","142,819","139,368","129,375","125,901","114,956","102,532","107,683","107,352","65,465","35,156","32,701","27,811","25,350","26,002","22,714","15,244","17,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,"41,492,173","41,947,120","43,438,084","45,789,090","47,588,421","49,100,337","51,915,560","54,551,768","56,383,540","58,584,054","61,855,084","61,014,447","62,235,294","61,708,803","60,132,705","59,207,780","59,621,519","60,481,500","61,307,656","64,032,845","65,278,343","65,221,899","64,540,468","61,765,396","66,729,494","65,852,377","65,159,021","65,956,480","67,613,430","67,509,283","68,924,071","68,508,825","68,363,633","66,276,854","68,963,726","69,024,627","70,086,579","70,431,076","70,550,101","69,284,318","69,228,979","70,001,308","68,700,674","67,831,619","68,237,582","67,437,044","68,436,408","69,301,833","70,933,660","70,383,733","72,411,609","75,151,696","76,555,188","78,996,208","84,804,384","85,506,364","81,106,000","84,483,564","92,041,667","97,756,234","91,966,617","94,003,919","98,533,806","102,670,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
