State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,76,91,93,101,109,85,0,122,14,127,88,22,9,33,33,30,29,20,0,0,0,0,0,0,4,4,4,4,4,4,7,15,27,14,8,17,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,1,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"179,680","179,748","177,381","184,190","188,989","173,791","163,193","145,322","140,690","136,714","131,294","123,921","108,442","103,573","81,863","76,947","73,210","85,641","109,571","149,539","180,961","187,257","173,367","156,327","163,646","148,964","145,097","142,955","127,530","106,346","98,481","112,013","96,666","83,192","66,228","98,621","106,900","111,406","113,789","123,310","108,825","135,437","143,130","157,366","87,181","77,573","84,536","95,280","114,855","116,540","102,998","99,589","65,344","60,866","56,686","60,476","50,418","39,719","36,499","34,280","29,535","28,373","29,335","27,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"38,668","39,227","34,661","34,743","29,145","32,520","35,505","29,929","22,347","47,706","49,414","35,184","36,142","59,697","57,687","43,077","44,510","48,347","47,412","55,003","54,503","58,972","59,125","54,475","53,760","54,826","48,589","49,331","54,837","54,249","53,770","55,348","56,654","56,796","52,680","52,770","53,417","54,679","59,789","63,297","72,010","83,918","88,781","88,966","100,261","114,001","116,906","121,193","116,656","101,900","90,618","77,669","70,814","67,877","63,185","55,943","52,130","50,821","47,712","47,967","42,619","42,872","43,625","45,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"24,900","25,688","32,149","41,917","44,348","45,564","59,537","51,712","52,429","42,925","44,589","42,269","40,068","34,319","36,419","29,506","36,255","33,605","35,001","24,587","52,636","54,999","66,904","86,370","89,053","93,448","70,816","80,589","74,796","65,725","66,767","68,533","69,083","74,912","72,027","62,210","61,513","64,346","65,238","65,985","65,332","68,363","69,169","67,756","68,399","67,863","71,364","76,920","68,855","80,485","107,687","130,722","231,489","318,391","437,170","678,977","766,865","857,330","993,022","1,187,235","1,217,908","1,387,394","1,396,348","1,555,143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"17,685","18,247","17,247","15,127","12,929","12,425","11,818","9,798","9,422","8,101","6,944","4,569","4,452","4,663","3,318","3,065","2,928","3,157","3,141","3,429","2,737","2,747","2,473","2,282","2,469","2,099","1,519","1,377",996,916,780,793,"1,157","2,061","2,868","2,195","1,889","1,666","1,700","1,394","1,225","1,229","1,196","1,464","1,489","1,183","1,214","1,583","3,116","2,943","2,240","1,981","1,353","1,069",435,504,557,483,459,411,375,348,338,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"923,220","912,512","929,788","934,139","1,015,425","1,083,009","1,153,350","1,233,586","1,345,297","1,315,196","1,316,174","1,355,507","1,409,298","1,392,530","1,413,018","1,385,223","1,399,444","1,382,357","1,352,720","1,370,210","1,323,828","1,301,264","1,139,085","1,023,273","1,100,047","1,059,354","835,196","982,114","943,757","990,455","1,120,869","1,187,934","1,433,215","1,590,700","1,695,520","1,788,221","1,755,289","1,739,987","1,624,812","1,636,970","1,806,516","1,813,050","1,763,599","1,799,677","1,828,178","1,828,036","1,780,567","1,690,846","1,608,955","1,549,619","1,453,109","1,397,252","1,367,017","1,331,404","1,397,847","1,436,329","1,422,598","1,506,770","1,734,539","2,068,295","2,296,971","2,603,202","3,174,658","3,634,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
